cod_munic,nomb_munic,cod_depto
mu1,Popayán,dp23
mu2,El Carmen de Viboral,dp5
mu3,Pereira,dp20
mu4,Caucasia,dp5
mu5,San Gil,dp9
mu6,Villa de San Diego de Ubaté,dp2
mu7,San Andrés,dp11
mu8,Barrancabermeja,dp9
mu9,Puerto Colombia,dp29
mu10,Florencia,dp10
mu11,Sogamoso,dp7
mu12,Sibundoy,dp24
mu13,Ocaña,dp19
mu14,San Andrés de Tumaco,dp15
mu15,San Juan del Cesar,dp21
mu16,Chía,dp2
mu17,Santa Rosa de Osos,dp5
mu18,Manizales,dp25
mu19,Girardot,dp2
mu20,Facatativá,dp2
mu21,Bogotá D.C.,dp17
mu22,Fusagasugá,dp2
mu23,Marinilla,dp5
mu24,Copacabana,dp5
mu25,Zarzal,dp27
mu26,Puerto Berrío,dp5
mu27,Pasto,dp15
mu28,Neiva,dp26
mu29,Medellín,dp5
mu30,Nilo,dp2
mu31,Sevilla,dp27
mu32,Tuluá,dp27
mu33,Tunja,dp7
mu34,Floridablanca,dp9
mu35,Quibdó,dp6
mu36,Ciénaga,dp18
mu37,Puerto Tejada,dp23
mu38,Montería,dp12
mu39,Guadalajara de Buga,dp27
mu40,Mocoa,dp24
mu41,Caldas,dp5
mu42,Roldanillo,dp27
mu43,Andes,dp5
mu44,Pamplona,dp19
mu45,Yopal,dp1
mu46,Honda,dp3
mu47,Mosquera,dp2
mu48,Santa Rosa de Cabal,dp20
mu49,Apartadó,dp5
mu50,Cota,dp2
mu51,San José de Cúcuta,dp19
mu52,Barranquilla,dp29
mu53,Ibagué,dp3
mu54,Armenia,dp8
mu55,Espinal,dp3
mu56,Socorro,dp9
mu57,Sabaneta,dp5
mu58,Timbío,dp23
mu59,Coveñas,dp13
mu60,Santa Marta,dp18
mu61,Bello,dp5
mu62,Cartago,dp27
mu63,Villavicencio,dp4
mu64,Madrid,dp2
mu65,Bucaramanga,dp9
mu66,Rivera,dp26
mu67,Sincelejo,dp13
mu68,Arauca,dp14
mu69,Turbo,dp5
mu70,Rionegro,dp5
mu71,Málaga,dp9
mu72,Valledupar,dp22
mu73,Cereté,dp12
mu74,Pensilvania,dp25
mu75,Santa Fé de Antioquia,dp5
mu76,La Paz,dp22
mu77,Riohacha,dp21
mu78,Duitama,dp7
mu79,Leticia,dp16
mu80,Cali,dp27
mu81,Aguachica,dp22
mu82,Chiquinquirá,dp7
mu83,Palmira,dp27
mu84,Envigado,dp5
mu85,Puerto Asís,dp24
mu86,Cartagena de Indias,dp28
mu87,Buenaventura,dp27
